"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"469","-65","-65","-65"
"470","-65","-65","-65"
"471","-62","-62","-62"
"472","-60","-60","-60"
"473","-70","-70","-70"
"474","-62","-62","-62"
"475","-60","-60","-60"
"476","-60","-60","-60"
"477","-60","-60","-60"
"478","-61","-61","-61"
"479","-64","-64","-64"
"480","-60","-60","-60"
"481","-60","-60","-60"
"482","-64","-64","-64"
"483","-59","-59","-59"
"484","-67","-67","-67"
"485","-61","-61","-61"
"486","-64","-64","-64"
"487","-61","-61","-61"
"488","-60","-60","-60"
"489","-60","-60","-60"
"490","-63","-63","-63"
"491","-63","-63","-63"
"492","-63","-63","-63"
"493","-60","-60","-60"
"494","-64","-64","-64"
"495","-63","-63","-63"
"496","-62","-62","-62"
"497","-61","-61","-61"
"498","-68","-68","-68"
"499","-59","-59","-59"
"500","-69","-69","-69"
"501","-60","-60","-60"
"502","-61","-61","-61"
"503","-61","-61","-61"
"504","-64","-64","-64"
"505","-60","-60","-60"
"506","-62","-62","-62"
"507","-63","-63","-63"
"508","-62","-62","-62"
"509","-62","-62","-62"
"510","-61","-61","-61"
"511","-60","-60","-60"
"512","-64","-64","-64"
"513","-60","-60","-60"
"514","-60","-60","-60"
"515","-70","-70","-70"
"516","-59","-59","-59"
"517","-58","-58","-58"
"518","-60","-60","-60"
"519","-70","-70","-70"
"520","-59","-59","-59"
"521","-64","-64","-64"
"522","-61","-61","-61"
"523","-70","-70","-70"
"524","-64","-64","-64"
"525","-61","-61","-61"
"526","-61","-61","-61"
"527","-64","-64","-64"
"528","-64","-64","-64"
"529","-63","-63","-63"
"530","-60","-60","-60"
"531","-63","-63","-63"
"532","-60","-60","-60"
"533","-60","-60","-60"
"534","-64","-64","-64"
"535","-61","-61","-61"
"536","-62","-62","-62"
"537","-62","-62","-62"
"538","-61","-61","-61"
"539","-62","-62","-62"
"540","-60","-60","-60"
"541","-65","-65","-65"
"542","-63","-63","-63"
"543","-60","-60","-60"
"544","-61","-61","-61"
"545","-63","-63","-63"
"546","-61","-61","-61"
"547","-60","-60","-60"
"548","-68","-68","-68"
"549","-59","-59","-59"
"550","-65","-65","-65"
"551","-60","-60","-60"
"552","-59","-59","-59"
"553","-61","-61","-61"
"554","-63","-63","-63"
"555","-60","-60","-60"
"556","-62","-62","-62"
"557","-63","-63","-63"
"558","-60","-60","-60"
"559","-64","-64","-64"
"560","-60","-60","-60"
"561","-60","-60","-60"
"562","-62","-62","-62"
"563","-61","-61","-61"
"564","-60","-60","-60"
"565","-61","-61","-61"
"566","-59","-59","-59"
"567","-59","-59","-59"
"568","-67","-67","-67"
"569","-61","-61","-61"
"570","-60","-60","-60"
"571","-60","-60","-60"
"572","-64","-64","-64"
"573","-63","-63","-63"
"574","-63","-63","-63"
"575","-60","-60","-60"
"576","-65","-65","-65"
"577","-60","-60","-60"
"578","-60","-60","-60"
"579","-59","-59","-59"
"580","-60","-60","-60"
"581","-60","-60","-60"
"582","-60","-60","-60"
"583","-62","-62","-62"
"584","-59","-59","-59"
"585","-63","-63","-63"
"586","-63","-63","-63"
"587","-61","-61","-61"
"588","-60","-60","-60"
"589","-64","-64","-64"
"590","-58","-58","-58"
"591","-65","-65","-65"
"592","-61","-61","-61"
