"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"343","-65","-65","-65"
"344","-64","-64","-64"
"345","-64","-64","-64"
"346","-64","-64","-64"
"347","-63","-63","-63"
"348","-62","-62","-62"
"349","-64","-64","-64"
"350","-63","-63","-63"
"351","-63","-63","-63"
"352","-63","-63","-63"
"353","-64","-64","-64"
"354","-64","-64","-64"
"355","-64","-64","-64"
"356","-64","-64","-64"
"357","-63","-63","-63"
"358","-64","-64","-64"
"359","-64","-64","-64"
"360","-64","-64","-64"
"361","-64","-64","-64"
"362","-63","-63","-63"
"363","-63","-63","-63"
"364","-65","-65","-65"
"365","-64","-64","-64"
"366","-64","-64","-64"
"367","-65","-65","-65"
"368","-64","-64","-64"
"369","-64","-64","-64"
"370","-63","-63","-63"
"371","-63","-63","-63"
"372","-63","-63","-63"
"373","-63","-63","-63"
"374","-63","-63","-63"
"375","-63","-63","-63"
"376","-63","-63","-63"
"377","-64","-64","-64"
"378","-63","-63","-63"
"379","-64","-64","-64"
"380","-63","-63","-63"
"381","-62","-62","-62"
"382","-64","-64","-64"
"383","-63","-63","-63"
"384","-64","-64","-64"
"385","-64","-64","-64"
"386","-62","-62","-62"
"387","-64","-64","-64"
"388","-63","-63","-63"
"389","-64","-64","-64"
"390","-63","-63","-63"
"391","-65","-65","-65"
"392","-63","-63","-63"
"393","-64","-64","-64"
"394","-63","-63","-63"
"395","-63","-63","-63"
"396","-63","-63","-63"
"397","-64","-64","-64"
"398","-64","-64","-64"
"399","-63","-63","-63"
"400","-64","-64","-64"
"401","-64","-64","-64"
"402","-65","-65","-65"
"403","-63","-63","-63"
"404","-63","-63","-63"
"405","-64","-64","-64"
"406","-64","-64","-64"
"407","-63","-63","-63"
"408","-64","-64","-64"
"409","-64","-64","-64"
"410","-64","-64","-64"
"411","-64","-64","-64"
"412","-64","-64","-64"
"413","-65","-65","-65"
"414","-63","-63","-63"
"415","-64","-64","-64"
"416","-63","-63","-63"
"417","-63","-63","-63"
"418","-64","-64","-64"
"419","-63","-63","-63"
"420","-64","-64","-64"
"421","-63","-63","-63"
"422","-63","-63","-63"
"423","-63","-63","-63"
"424","-63","-63","-63"
"425","-62","-62","-62"
"426","-62","-62","-62"
"427","-63","-63","-63"
"428","-63","-63","-63"
"429","-63","-63","-63"
"430","-64","-64","-64"
"431","-64","-64","-64"
"432","-63","-63","-63"
"433","-65","-65","-65"
"434","-66","-66","-66"
"435","-63","-63","-63"
"436","-64","-64","-64"
"437","-64","-64","-64"
"438","-63","-63","-63"
"439","-64","-64","-64"
"440","-64","-64","-64"
"441","-63","-63","-63"
"442","-63","-63","-63"
"443","-64","-64","-64"
"444","-64","-64","-64"
"445","-62","-62","-62"
"446","-64","-64","-64"
"447","-64","-64","-64"
"448","-64","-64","-64"
"449","-64","-64","-64"
"450","-63","-63","-63"
"451","-64","-64","-64"
"452","-63","-63","-63"
"453","-64","-64","-64"
"454","-64","-64","-64"
"455","-63","-63","-63"
"456","-63","-63","-63"
"457","-64","-64","-64"
"458","-65","-65","-65"
"459","-65","-65","-65"
"460","-63","-63","-63"
"461","-65","-65","-65"
"462","-64","-64","-64"
"463","-64","-64","-64"
"464","-65","-65","-65"
"465","-63","-63","-63"
"466","-63","-63","-63"
"467","-65","-65","-65"
"468","-64","-64","-64"
"469","-64","-64","-64"
"470","-64","-64","-64"
"471","-63","-63","-63"
"472","-65","-65","-65"
"473","-64","-64","-64"
"474","-64","-64","-64"
"475","-64","-64","-64"
"476","-63","-63","-63"
"477","-64","-64","-64"
"478","-64","-64","-64"
"479","-65","-65","-65"
"480","-64","-64","-64"
"481","-64","-64","-64"
"482","-64","-64","-64"
"483","-64","-64","-64"
"484","-63","-63","-63"
"485","-64","-64","-64"
"486","-64","-64","-64"
"487","-63","-63","-63"
"488","-64","-64","-64"
"489","-64","-64","-64"
"490","-64","-64","-64"
"491","-63","-63","-63"
"492","-64","-64","-64"
"493","-63","-63","-63"
"494","-63","-63","-63"
"495","-63","-63","-63"
"496","-65","-65","-65"
"497","-64","-64","-64"
"498","-63","-63","-63"
"499","-63","-63","-63"
"500","-63","-63","-63"
"501","-64","-64","-64"
"502","-64","-64","-64"
"503","-64","-64","-64"
"504","-64","-64","-64"
"505","-63","-63","-63"
"506","-63","-63","-63"
"507","-64","-64","-64"
"508","-64","-64","-64"
"509","-64","-64","-64"
"510","-64","-64","-64"
"511","-64","-64","-64"
"512","-63","-63","-63"
"513","-64","-64","-64"
"514","-64","-64","-64"
"515","-64","-64","-64"
"516","-64","-64","-64"
"517","-64","-64","-64"
"518","-64","-64","-64"
"519","-63","-63","-63"
"520","-64","-64","-64"
"521","-63","-63","-63"
"522","-64","-64","-64"
"523","-63","-63","-63"
"524","-64","-64","-64"
"525","-64","-64","-64"
"526","-63","-63","-63"
"527","-64","-64","-64"
"528","-64","-64","-64"
"529","-65","-65","-65"
"530","-64","-64","-64"
"531","-63","-63","-63"
"532","-63","-63","-63"
"533","-63","-63","-63"
"534","-64","-64","-64"
"535","-64","-64","-64"
"536","-64","-64","-64"
"537","-64","-64","-64"
"538","-65","-65","-65"
"539","-64","-64","-64"
"540","-64","-64","-64"
"541","-63","-63","-63"
"542","-63","-63","-63"
"543","-64","-64","-64"
"544","-65","-65","-65"
"545","-63","-63","-63"
"546","-63","-63","-63"
"547","-64","-64","-64"
"548","-65","-65","-65"
"549","-64","-64","-64"
"550","-65","-65","-65"
"551","-66","-66","-66"
"552","-64","-64","-64"
"553","-63","-63","-63"
"554","-63","-63","-63"
"555","-64","-64","-64"
"556","-63","-63","-63"
"557","-63","-63","-63"
"558","-64","-64","-64"
"559","-63","-63","-63"
"560","-64","-64","-64"
"561","-64","-64","-64"
"562","-63","-63","-63"
"563","-64","-64","-64"
"564","-63","-63","-63"
"565","-64","-64","-64"
"566","-63","-63","-63"
"567","-65","-65","-65"
"568","-64","-64","-64"
"569","-63","-63","-63"
"570","-63","-63","-63"
"571","-63","-63","-63"
"572","-64","-64","-64"
"573","-63","-63","-63"
"574","-64","-64","-64"
"575","-63","-63","-63"
"576","-64","-64","-64"
"577","-63","-63","-63"
"578","-62","-62","-62"
"579","-64","-64","-64"
"580","-63","-63","-63"
"581","-63","-63","-63"
"582","-65","-65","-65"
"583","-63","-63","-63"
"584","-63","-63","-63"
"585","-63","-63","-63"
"586","-64","-64","-64"
"587","-64","-64","-64"
"588","-63","-63","-63"
"589","-63","-63","-63"
"590","-62","-62","-62"
"591","-64","-64","-64"
"592","-63","-63","-63"
