"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"409","-62","-62","-62"
"410","-66","-66","-66"
"411","-63","-63","-63"
"412","-64","-64","-64"
"413","-66","-66","-66"
"414","-62","-62","-62"
"415","-66","-66","-66"
"416","-61","-61","-61"
"417","-61","-61","-61"
"418","-61","-61","-61"
"419","-64","-64","-64"
"420","-63","-63","-63"
"421","-61","-61","-61"
"422","-60","-60","-60"
"423","-66","-66","-66"
"424","-61","-61","-61"
"425","-59","-59","-59"
"426","-59","-59","-59"
"427","-61","-61","-61"
"428","-60","-60","-60"
"429","-61","-61","-61"
"430","-60","-60","-60"
"431","-63","-63","-63"
"432","-60","-60","-60"
"433","-57","-57","-57"
"434","-66","-66","-66"
"435","-61","-61","-61"
"436","-64","-64","-64"
"437","-64","-64","-64"
"438","-62","-62","-62"
"439","-64","-64","-64"
"440","-65","-65","-65"
"441","-63","-63","-63"
"442","-61","-61","-61"
"443","-61","-61","-61"
"444","-60","-60","-60"
"445","-62","-62","-62"
"446","-61","-61","-61"
"447","-63","-63","-63"
"448","-60","-60","-60"
"449","-61","-61","-61"
"450","-64","-64","-64"
"451","-60","-60","-60"
"452","-61","-61","-61"
"453","-63","-63","-63"
"454","-64","-64","-64"
"455","-60","-60","-60"
"456","-59","-59","-59"
"457","-59","-59","-59"
"458","-63","-63","-63"
"459","-63","-63","-63"
"460","-68","-68","-68"
"461","-61","-61","-61"
"462","-62","-62","-62"
"463","-60","-60","-60"
"464","-64","-64","-64"
"465","-59","-59","-59"
"466","-64","-64","-64"
"467","-60","-60","-60"
"468","-65","-65","-65"
"469","-60","-60","-60"
"470","-60","-60","-60"
"471","-60","-60","-60"
"472","-62","-62","-62"
"473","-61","-61","-61"
"474","-64","-64","-64"
"475","-60","-60","-60"
"476","-59","-59","-59"
"477","-63","-63","-63"
"478","-60","-60","-60"
"479","-60","-60","-60"
"480","-60","-60","-60"
"481","-63","-63","-63"
"482","-68","-68","-68"
"483","-61","-61","-61"
"484","-59","-59","-59"
"485","-60","-60","-60"
"486","-62","-62","-62"
"487","-60","-60","-60"
"488","-60","-60","-60"
"489","-61","-61","-61"
"490","-61","-61","-61"
"491","-60","-60","-60"
"492","-59","-59","-59"
"493","-59","-59","-59"
"494","-64","-64","-64"
"495","-59","-59","-59"
"496","-61","-61","-61"
"497","-60","-60","-60"
"498","-60","-60","-60"
"499","-59","-59","-59"
"500","-60","-60","-60"
"501","-60","-60","-60"
"502","-60","-60","-60"
"503","-60","-60","-60"
"504","-60","-60","-60"
"505","-59","-59","-59"
"506","-60","-60","-60"
"507","-63","-63","-63"
"508","-59","-59","-59"
"509","-64","-64","-64"
"510","-62","-62","-62"
"511","-64","-64","-64"
"512","-59","-59","-59"
"513","-61","-61","-61"
"514","-63","-63","-63"
"515","-68","-68","-68"
"516","-62","-62","-62"
"517","-59","-59","-59"
"518","-64","-64","-64"
"519","-59","-59","-59"
"520","-63","-63","-63"
"521","-64","-64","-64"
"522","-60","-60","-60"
"523","-60","-60","-60"
"524","-60","-60","-60"
"525","-64","-64","-64"
"526","-61","-61","-61"
"527","-60","-60","-60"
"528","-65","-65","-65"
"529","-66","-66","-66"
"530","-68","-68","-68"
"531","-59","-59","-59"
"532","-59","-59","-59"
"533","-64","-64","-64"
"534","-63","-63","-63"
"535","-62","-62","-62"
"536","-61","-61","-61"
"537","-60","-60","-60"
"538","-60","-60","-60"
"539","-60","-60","-60"
"540","-62","-62","-62"
"541","-59","-59","-59"
"542","-60","-60","-60"
"543","-61","-61","-61"
"544","-60","-60","-60"
"545","-64","-64","-64"
"546","-68","-68","-68"
"547","-69","-69","-69"
"548","-61","-61","-61"
"549","-68","-68","-68"
"550","-62","-62","-62"
"551","-61","-61","-61"
"552","-61","-61","-61"
"553","-64","-64","-64"
"554","-68","-68","-68"
"555","-60","-60","-60"
"556","-60","-60","-60"
"557","-68","-68","-68"
"558","-60","-60","-60"
"559","-59","-59","-59"
"560","-61","-61","-61"
"561","-63","-63","-63"
"562","-61","-61","-61"
"563","-65","-65","-65"
"564","-63","-63","-63"
"565","-58","-58","-58"
"566","-62","-62","-62"
"567","-66","-66","-66"
"568","-61","-61","-61"
"569","-63","-63","-63"
"570","-60","-60","-60"
"571","-63","-63","-63"
"572","-62","-62","-62"
"573","-64","-64","-64"
"574","-67","-67","-67"
"575","-67","-67","-67"
"576","-68","-68","-68"
"577","-60","-60","-60"
"578","-59","-59","-59"
"579","-61","-61","-61"
"580","-68","-68","-68"
"581","-61","-61","-61"
"582","-58","-58","-58"
"583","-60","-60","-60"
"584","-60","-60","-60"
"585","-59","-59","-59"
"586","-62","-62","-62"
"587","-59","-59","-59"
"588","-59","-59","-59"
"589","-60","-60","-60"
"590","-59","-59","-59"
"591","-60","-60","-60"
"592","-67","-67","-67"
"593","-59","-59","-59"
"594","-68","-68","-68"
"595","-60","-60","-60"
"596","-60","-60","-60"
"597","-60","-60","-60"
"598","-64","-64","-64"
"599","-60","-60","-60"
"600","-67","-67","-67"
"601","-65","-65","-65"
"602","-65","-65","-65"
"603","-65","-65","-65"
"604","-69","-69","-69"
"605","-73","-73","-73"
"606","-63","-63","-63"
"607","-60","-60","-60"
"608","-70","-70","-70"
"609","-65","-65","-65"
"610","-69","-69","-69"
"611","-67","-67","-67"
"612","-65","-65","-65"
"613","-74","-74","-74"
"614","-62","-62","-62"
"615","-63","-63","-63"
"616","-72","-72","-72"
"617","-62","-62","-62"
"618","-63","-63","-63"
"619","-65","-65","-65"
"620","-67","-67","-67"
"621","-62","-62","-62"
"622","-62","-62","-62"
"623","-63","-63","-63"
"624","-77","-77","-77"
"625","-72","-72","-72"
"626","-71","-71","-71"
"627","-62","-62","-62"
"628","-70","-70","-70"
"629","-64","-64","-64"
"630","-68","-68","-68"
"631","-73","-73","-73"
"632","-72","-72","-72"
"633","-65","-65","-65"
"634","-61","-61","-61"
"635","-64","-64","-64"
"636","-70","-70","-70"
"637","-74","-74","-74"
"638","-69","-69","-69"
"639","-66","-66","-66"
"640","-68","-68","-68"
"641","-65","-65","-65"
"642","-65","-65","-65"
"643","-63","-63","-63"
"644","-65","-65","-65"
"645","-64","-64","-64"
"646","-64","-64","-64"
"647","-64","-64","-64"
"648","-62","-62","-62"
"649","-69","-69","-69"
"650","-65","-65","-65"
"651","-62","-62","-62"
"652","-64","-64","-64"
"653","-61","-61","-61"
"654","-65","-65","-65"
"655","-64","-64","-64"
"656","-65","-65","-65"
"657","-62","-62","-62"
"658","-65","-65","-65"
"659","-77","-77","-77"
"660","-69","-69","-69"
"661","-64","-64","-64"
"662","-65","-65","-65"
"663","-70","-70","-70"
"664","-69","-69","-69"
"665","-62","-62","-62"
"666","-66","-66","-66"
"667","-71","-71","-71"
"668","-60","-60","-60"
"669","-62","-62","-62"
"670","-63","-63","-63"
"671","-70","-70","-70"
"672","-65","-65","-65"
"673","-63","-63","-63"
"674","-66","-66","-66"
"675","-71","-71","-71"
"676","-73","-73","-73"
"677","-64","-64","-64"
"678","-72","-72","-72"
"679","-62","-62","-62"
"680","-63","-63","-63"
"681","-64","-64","-64"
"682","-72","-72","-72"
"683","-63","-63","-63"
"684","-64","-64","-64"
"685","-72","-72","-72"
"686","-61","-61","-61"
"687","-64","-64","-64"
"688","-65","-65","-65"
"689","-74","-74","-74"
"690","-66","-66","-66"
"691","-61","-61","-61"
"692","-66","-66","-66"
"693","-63","-63","-63"
"694","-62","-62","-62"
"695","-66","-66","-66"
"696","-64","-64","-64"
"697","-71","-71","-71"
"698","-70","-70","-70"
"699","-77","-77","-77"
"700","-61","-61","-61"
"701","-62","-62","-62"
"702","-63","-63","-63"
"703","-63","-63","-63"
"704","-71","-71","-71"
"705","-64","-64","-64"
"706","-66","-66","-66"
"707","-70","-70","-70"
"708","-67","-67","-67"
"709","-71","-71","-71"
"710","-62","-62","-62"
"711","-72","-72","-72"
"712","-61","-61","-61"
"713","-67","-67","-67"
"714","-69","-69","-69"
"715","-64","-64","-64"
"716","-65","-65","-65"
"717","-70","-70","-70"
"718","-62","-62","-62"
"719","-75","-75","-75"
"720","-72","-72","-72"
"721","-63","-63","-63"
"722","-62","-62","-62"
"723","-70","-70","-70"
"724","-64","-64","-64"
"725","-70","-70","-70"
"726","-70","-70","-70"
"727","-63","-63","-63"
"728","-70","-70","-70"
"729","-64","-64","-64"
"730","-68","-68","-68"
"731","-72","-72","-72"
"732","-64","-64","-64"
"733","-65","-65","-65"
"734","-64","-64","-64"
"735","-66","-66","-66"
"736","-71","-71","-71"
"737","-72","-72","-72"
"738","-62","-62","-62"
"739","-74","-74","-74"
"740","-71","-71","-71"
"741","-70","-70","-70"
"742","-69","-69","-69"
"743","-71","-71","-71"
"744","-69","-69","-69"
"745","-62","-62","-62"
"746","-69","-69","-69"
"747","-65","-65","-65"
"748","-66","-66","-66"
"749","-66","-66","-66"
"750","-69","-69","-69"
"751","-72","-72","-72"
"752","-62","-62","-62"
"753","-72","-72","-72"
"754","-74","-74","-74"
"755","-64","-64","-64"
"756","-63","-63","-63"
"757","-69","-69","-69"
"758","-64","-64","-64"
"759","-67","-67","-67"
"760","-72","-72","-72"
"761","-62","-62","-62"
"762","-69","-69","-69"
"763","-65","-65","-65"
"764","-71","-71","-71"
"765","-61","-61","-61"
"766","-72","-72","-72"
"767","-70","-70","-70"
"768","-62","-62","-62"
"769","-64","-64","-64"
"770","-66","-66","-66"
"771","-77","-77","-77"
"772","-72","-72","-72"
"773","-75","-75","-75"
"774","-62","-62","-62"
"775","-71","-71","-71"
"776","-69","-69","-69"
"777","-69","-69","-69"
"778","-78","-78","-78"
"779","-65","-65","-65"
"780","-68","-68","-68"
"781","-73","-73","-73"
"782","-64","-64","-64"
"783","-66","-66","-66"
"784","-68","-68","-68"
"785","-62","-62","-62"
"786","-60","-60","-60"
"787","-62","-62","-62"
"788","-66","-66","-66"
"789","-74","-74","-74"
"790","-70","-70","-70"
"791","-73","-73","-73"
"792","-71","-71","-71"
"793","-70","-70","-70"
"794","-62","-62","-62"
"795","-63","-63","-63"
"796","-70","-70","-70"
"797","-61","-61","-61"
"798","-66","-66","-66"
"799","-67","-67","-67"
"800","-65","-65","-65"
"801","-72","-72","-72"
"802","-79","-79","-79"
"803","-71","-71","-71"
"804","-72","-72","-72"
"805","-72","-72","-72"
"806","-66","-66","-66"
"807","-74","-74","-74"
"808","-71","-71","-71"
"809","-60","-60","-60"
"810","-62","-62","-62"
"811","-77","-77","-77"
"812","-90","-90","-90"
"813","-66","-66","-66"
"814","-72","-72","-72"
"815","-61","-61","-61"
"816","-72","-72","-72"
"817","-72","-72","-72"
"818","-73","-73","-73"
"819","-60","-60","-60"
"820","-62","-62","-62"
"821","-72","-72","-72"
"822","-61","-61","-61"
"823","-66","-66","-66"
"824","-74","-74","-74"
"825","-72","-72","-72"
"826","-61","-61","-61"
"827","-59","-59","-59"
"828","-68","-68","-68"
"829","-72","-72","-72"
"830","-73","-73","-73"
"831","-73","-73","-73"
"832","-71","-71","-71"
"833","-61","-61","-61"
"834","-71","-71","-71"
"835","-72","-72","-72"
"836","-72","-72","-72"
"837","-65","-65","-65"
"838","-72","-72","-72"
"839","-74","-74","-74"
"840","-70","-70","-70"
"841","-73","-73","-73"
"842","-65","-65","-65"
"843","-64","-64","-64"
"844","-71","-71","-71"
"845","-63","-63","-63"
"846","-70","-70","-70"
"847","-73","-73","-73"
"848","-74","-74","-74"
"849","-72","-72","-72"
"850","-60","-60","-60"
"851","-62","-62","-62"
"852","-64","-64","-64"
"853","-69","-69","-69"
"854","-70","-70","-70"
"855","-72","-72","-72"
"856","-71","-71","-71"
"857","-63","-63","-63"
"858","-64","-64","-64"
"859","-64","-64","-64"
"860","-67","-67","-67"
"861","-70","-70","-70"
"862","-67","-67","-67"
"863","-71","-71","-71"
"864","-71","-71","-71"
"865","-66","-66","-66"
"866","-61","-61","-61"
"867","-66","-66","-66"
"868","-63","-63","-63"
"869","-73","-73","-73"
"870","-72","-72","-72"
"871","-72","-72","-72"
"872","-71","-71","-71"
"873","-60","-60","-60"
"874","-66","-66","-66"
"875","-72","-72","-72"
"876","-66","-66","-66"
"877","-61","-61","-61"
"878","-65","-65","-65"
"879","-60","-60","-60"
"880","-65","-65","-65"
"881","-69","-69","-69"
"882","-69","-69","-69"
"883","-69","-69","-69"
"884","-64","-64","-64"
"885","-70","-70","-70"
"886","-64","-64","-64"
"887","-61","-61","-61"
"888","-64","-64","-64"
"889","-60","-60","-60"
"890","-61","-61","-61"
"891","-71","-71","-71"
"892","-73","-73","-73"
"893","-69","-69","-69"
"894","-72","-72","-72"
"895","-66","-66","-66"
"896","-72","-72","-72"
"897","-68","-68","-68"
"898","-66","-66","-66"
"899","-71","-71","-71"
"900","-64","-64","-64"
"901","-67","-67","-67"
"902","-59","-59","-59"
"903","-72","-72","-72"
"904","-69","-69","-69"
"905","-69","-69","-69"
"906","-64","-64","-64"
"907","-60","-60","-60"
"908","-72","-72","-72"
"909","-65","-65","-65"
"910","-70","-70","-70"
"911","-69","-69","-69"
"912","-71","-71","-71"
"913","-67","-67","-67"
"914","-66","-66","-66"
"915","-65","-65","-65"
"916","-72","-72","-72"
"917","-59","-59","-59"
"918","-72","-72","-72"
"919","-61","-61","-61"
"920","-71","-71","-71"
"921","-59","-59","-59"
"922","-62","-62","-62"
"923","-65","-65","-65"
"924","-65","-65","-65"
"925","-60","-60","-60"
"926","-68","-68","-68"
"927","-69","-69","-69"
"928","-60","-60","-60"
"929","-70","-70","-70"
"930","-72","-72","-72"
"931","-65","-65","-65"
"932","-68","-68","-68"
"933","-69","-69","-69"
"934","-71","-71","-71"
"935","-59","-59","-59"
"936","-61","-61","-61"
"937","-64","-64","-64"
"938","-60","-60","-60"
"939","-59","-59","-59"
"940","-69","-69","-69"
"941","-71","-71","-71"
"942","-68","-68","-68"
"943","-59","-59","-59"
"944","-65","-65","-65"
"945","-61","-61","-61"
"946","-62","-62","-62"
"947","-61","-61","-61"
"948","-72","-72","-72"
"949","-66","-66","-66"
"950","-68","-68","-68"
"951","-61","-61","-61"
"952","-60","-60","-60"
"953","-63","-63","-63"
"954","-60","-60","-60"
"955","-66","-66","-66"
"956","-60","-60","-60"
"957","-59","-59","-59"
"958","-64","-64","-64"
"959","-70","-70","-70"
"960","-70","-70","-70"
"961","-70","-70","-70"
"962","-61","-61","-61"
"963","-62","-62","-62"
"964","-64","-64","-64"
"965","-60","-60","-60"
"966","-66","-66","-66"
"967","-65","-65","-65"
"968","-69","-69","-69"
"969","-61","-61","-61"
"970","-62","-62","-62"
"971","-60","-60","-60"
"972","-68","-68","-68"
"973","-65","-65","-65"
"974","-68","-68","-68"
"975","-62","-62","-62"
"976","-62","-62","-62"
"977","-60","-60","-60"
"978","-69","-69","-69"
"979","-68","-68","-68"
"980","-70","-70","-70"
"981","-68","-68","-68"
"982","-69","-69","-69"
"983","-71","-71","-71"
"984","-61","-61","-61"
"985","-60","-60","-60"
"986","-70","-70","-70"
"987","-60","-60","-60"
"988","-69","-69","-69"
"989","-61","-61","-61"
"990","-64","-64","-64"
"991","-69","-69","-69"
"992","-70","-70","-70"
"993","-64","-64","-64"
"994","-68","-68","-68"
"995","-69","-69","-69"
"996","-60","-60","-60"
"997","-59","-59","-59"
"998","-68","-68","-68"
"999","-64","-64","-64"
"1000","-73","-73","-73"
"1001","-69","-69","-69"
"1002","-71","-71","-71"
"1003","-65","-65","-65"
"1004","-73","-73","-73"
"1005","-73","-73","-73"
"1006","-62","-62","-62"
"1007","-62","-62","-62"
"1008","-62","-62","-62"
"1009","-79","-79","-79"
"1010","-80","-80","-80"
"1011","-66","-66","-66"
"1012","-70","-70","-70"
"1013","-62","-62","-62"
"1014","-73","-73","-73"
"1015","-72","-72","-72"
"1016","-73","-73","-73"
"1017","-82","-82","-82"
"1018","-64","-64","-64"
"1019","-64","-64","-64"
