"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"467","-65","-65","-65"
"468","-64","-64","-64"
"469","-200","-200","-200"
"470","-200","-200","-200"
"471","-200","-200","-200"
"472","-200","-200","-200"
"473","-200","-200","-200"
"474","-200","-200","-200"
"475","-73","-73","-73"
"476","-89","-89","-89"
"477","-77","-77","-77"
"478","-110","-110","-110"
"479","-200","-200","-200"
"480","-200","-200","-200"
"481","-200","-200","-200"
"482","-200","-200","-200"
"483","-72","-72","-72"
"484","-200","-200","-200"
"485","-200","-200","-200"
"486","-65","-65","-65"
"487","-64","-64","-64"
"488","-64","-64","-64"
"489","-200","-200","-200"
"490","-87","-87","-87"
"491","-80","-80","-80"
"492","-72","-72","-72"
"493","-200","-200","-200"
"494","-200","-200","-200"
"495","-200","-200","-200"
"496","-101","-101","-101"
"497","-200","-200","-200"
"498","-200","-200","-200"
"499","-65","-65","-65"
"500","-65","-65","-65"
"501","-200","-200","-200"
"502","-89","-89","-89"
"503","-200","-200","-200"
"504","-200","-200","-200"
"505","-200","-200","-200"
"506","-200","-200","-200"
"507","-64","-64","-64"
"508","-200","-200","-200"
"509","-64","-64","-64"
"510","-200","-200","-200"
"511","-200","-200","-200"
"512","-64","-64","-64"
"513","-87","-87","-87"
"514","-73","-73","-73"
"515","-73","-73","-73"
"516","-92","-92","-92"
"517","-74","-74","-74"
"518","-75","-75","-75"
"519","-64","-64","-64"
"520","-71","-71","-71"
"521","-88","-88","-88"
"522","-64","-64","-64"
"523","-64","-64","-64"
"524","-200","-200","-200"
"525","-91","-91","-91"
"526","-64","-64","-64"
"527","-76","-76","-76"
"528","-74","-74","-74"
"529","-200","-200","-200"
"530","-65","-65","-65"
"531","-64","-64","-64"
"532","-72","-72","-72"
"533","-91","-91","-91"
"534","-72","-72","-72"
"535","-71","-71","-71"
"536","-80","-80","-80"
"537","-65","-65","-65"
"538","-66","-66","-66"
"539","-64","-64","-64"
"540","-72","-72","-72"
"541","-88","-88","-88"
"542","-73","-73","-73"
"543","-64","-64","-64"
"544","-65","-65","-65"
