"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"578","-61","-61","-61"
"579","-61","-61","-61"
"580","-61","-61","-61"
"581","-62","-62","-62"
"582","-62","-62","-62"
"583","-60","-60","-60"
"584","-60","-60","-60"
"585","-61","-61","-61"
"586","-62","-62","-62"
"587","-62","-62","-62"
"588","-61","-61","-61"
"589","-61","-61","-61"
"590","-61","-61","-61"
"591","-61","-61","-61"
"592","-62","-62","-62"
"593","-61","-61","-61"
"594","-61","-61","-61"
"595","-61","-61","-61"
"596","-62","-62","-62"
"597","-61","-61","-61"
"598","-60","-60","-60"
"599","-61","-61","-61"
"600","-60","-60","-60"
"601","-61","-61","-61"
"602","-62","-62","-62"
"603","-62","-62","-62"
"604","-61","-61","-61"
"605","-61","-61","-61"
"606","-61","-61","-61"
"607","-61","-61","-61"
"608","-62","-62","-62"
"609","-62","-62","-62"
"610","-62","-62","-62"
"611","-61","-61","-61"
"612","-61","-61","-61"
"613","-61","-61","-61"
"614","-61","-61","-61"
"615","-62","-62","-62"
"616","-61","-61","-61"
"617","-62","-62","-62"
"618","-61","-61","-61"
"619","-61","-61","-61"
"620","-62","-62","-62"
"621","-61","-61","-61"
"622","-61","-61","-61"
"623","-61","-61","-61"
"624","-60","-60","-60"
"625","-62","-62","-62"
"626","-61","-61","-61"
"627","-62","-62","-62"
"628","-61","-61","-61"
"629","-61","-61","-61"
"630","-62","-62","-62"
"631","-62","-62","-62"
"632","-61","-61","-61"
"633","-61","-61","-61"
"634","-62","-62","-62"
"635","-61","-61","-61"
"636","-62","-62","-62"
"637","-60","-60","-60"
"638","-61","-61","-61"
"639","-61","-61","-61"
"640","-61","-61","-61"
"641","-61","-61","-61"
"642","-62","-62","-62"
"643","-61","-61","-61"
"644","-62","-62","-62"
"645","-61","-61","-61"
"646","-62","-62","-62"
"647","-61","-61","-61"
"648","-61","-61","-61"
"649","-62","-62","-62"
"650","-61","-61","-61"
"651","-62","-62","-62"
"652","-61","-61","-61"
"653","-61","-61","-61"
"654","-62","-62","-62"
"655","-61","-61","-61"
"656","-61","-61","-61"
"657","-61","-61","-61"
"658","-61","-61","-61"
"659","-60","-60","-60"
"660","-62","-62","-62"
"661","-61","-61","-61"
"662","-61","-61","-61"
"663","-61","-61","-61"
"664","-61","-61","-61"
"665","-60","-60","-60"
"666","-62","-62","-62"
"667","-61","-61","-61"
"668","-61","-61","-61"
"669","-61","-61","-61"
"670","-62","-62","-62"
"671","-61","-61","-61"
"672","-60","-60","-60"
"673","-60","-60","-60"
"674","-61","-61","-61"
"675","-61","-61","-61"
"676","-61","-61","-61"
"677","-61","-61","-61"
"678","-60","-60","-60"
"679","-61","-61","-61"
"680","-61","-61","-61"
"681","-61","-61","-61"
"682","-61","-61","-61"
"683","-61","-61","-61"
"684","-61","-61","-61"
"685","-60","-60","-60"
"686","-61","-61","-61"
"687","-61","-61","-61"
"688","-61","-61","-61"
"689","-60","-60","-60"
"690","-60","-60","-60"
"691","-60","-60","-60"
"692","-61","-61","-61"
"693","-60","-60","-60"
"694","-62","-62","-62"
"695","-61","-61","-61"
"696","-61","-61","-61"
"697","-61","-61","-61"
"698","-61","-61","-61"
"699","-61","-61","-61"
"700","-61","-61","-61"
"701","-61","-61","-61"
"702","-61","-61","-61"
"703","-61","-61","-61"
"704","-61","-61","-61"
"705","-60","-60","-60"
"706","-60","-60","-60"
"707","-61","-61","-61"
"708","-60","-60","-60"
"709","-61","-61","-61"
"710","-61","-61","-61"
"711","-60","-60","-60"
"712","-61","-61","-61"
"713","-61","-61","-61"
"714","-62","-62","-62"
"715","-61","-61","-61"
"716","-61","-61","-61"
"717","-60","-60","-60"
"718","-62","-62","-62"
"719","-62","-62","-62"
"720","-61","-61","-61"
"721","-61","-61","-61"
"722","-61","-61","-61"
"723","-61","-61","-61"
"724","-60","-60","-60"
"725","-60","-60","-60"
"726","-61","-61","-61"
"727","-61","-61","-61"
"728","-60","-60","-60"
"729","-61","-61","-61"
"730","-61","-61","-61"
"731","-62","-62","-62"
"732","-61","-61","-61"
"733","-61","-61","-61"
"734","-60","-60","-60"
"735","-61","-61","-61"
"736","-62","-62","-62"
"737","-61","-61","-61"
"738","-62","-62","-62"
"739","-60","-60","-60"
"740","-60","-60","-60"
"741","-61","-61","-61"
"742","-61","-61","-61"
"743","-61","-61","-61"
"744","-61","-61","-61"
"745","-61","-61","-61"
"746","-61","-61","-61"
"747","-61","-61","-61"
"748","-61","-61","-61"
"749","-61","-61","-61"
"750","-61","-61","-61"
"751","-61","-61","-61"
"752","-60","-60","-60"
"753","-61","-61","-61"
"754","-61","-61","-61"
"755","-60","-60","-60"
"756","-61","-61","-61"
"757","-61","-61","-61"
"758","-61","-61","-61"
"759","-62","-62","-62"
"760","-61","-61","-61"
"761","-61","-61","-61"
"762","-62","-62","-62"
"763","-61","-61","-61"
"764","-60","-60","-60"
"765","-61","-61","-61"
"766","-61","-61","-61"
"767","-60","-60","-60"
"768","-61","-61","-61"
"769","-60","-60","-60"
"770","-61","-61","-61"
"771","-61","-61","-61"
"772","-60","-60","-60"
"773","-61","-61","-61"
"774","-62","-62","-62"
"775","-61","-61","-61"
"776","-60","-60","-60"
"777","-62","-62","-62"
"778","-61","-61","-61"
"779","-61","-61","-61"
"780","-61","-61","-61"
"781","-59","-59","-59"
"782","-61","-61","-61"
"783","-61","-61","-61"
"784","-62","-62","-62"
"785","-60","-60","-60"
"786","-60","-60","-60"
"787","-61","-61","-61"
"788","-61","-61","-61"
"789","-60","-60","-60"
"790","-61","-61","-61"
"791","-61","-61","-61"
"792","-60","-60","-60"
"793","-61","-61","-61"
"794","-61","-61","-61"
"795","-60","-60","-60"
"796","-60","-60","-60"
"797","-61","-61","-61"
"798","-61","-61","-61"
"799","-61","-61","-61"
"800","-60","-60","-60"
"801","-61","-61","-61"
"802","-61","-61","-61"
"803","-61","-61","-61"
"804","-61","-61","-61"
"805","-62","-62","-62"
"806","-60","-60","-60"
"807","-61","-61","-61"
"808","-61","-61","-61"
"809","-61","-61","-61"
"810","-61","-61","-61"
"811","-60","-60","-60"
"812","-61","-61","-61"
"813","-61","-61","-61"
"814","-61","-61","-61"
"815","-60","-60","-60"
"816","-61","-61","-61"
"817","-60","-60","-60"
"818","-61","-61","-61"
"819","-61","-61","-61"
"820","-61","-61","-61"
"821","-61","-61","-61"
"822","-60","-60","-60"
"823","-61","-61","-61"
"824","-60","-60","-60"
"825","-60","-60","-60"
"826","-60","-60","-60"
"827","-59","-59","-59"
"828","-60","-60","-60"
"829","-61","-61","-61"
"830","-61","-61","-61"
"831","-62","-62","-62"
"832","-61","-61","-61"
"833","-61","-61","-61"
"834","-60","-60","-60"
"835","-61","-61","-61"
"836","-61","-61","-61"
"837","-61","-61","-61"
"838","-61","-61","-61"
"839","-61","-61","-61"
"840","-61","-61","-61"
"841","-60","-60","-60"
"842","-61","-61","-61"
"843","-61","-61","-61"
"844","-61","-61","-61"
"845","-61","-61","-61"
"846","-61","-61","-61"
"847","-62","-62","-62"
"848","-60","-60","-60"
"849","-61","-61","-61"
"850","-61","-61","-61"
"851","-61","-61","-61"
"852","-61","-61","-61"
"853","-62","-62","-62"
"854","-62","-62","-62"
"855","-60","-60","-60"
"856","-62","-62","-62"
"857","-61","-61","-61"
"858","-60","-60","-60"
"859","-61","-61","-61"
"860","-61","-61","-61"
"861","-61","-61","-61"
"862","-61","-61","-61"
"863","-61","-61","-61"
"864","-61","-61","-61"
"865","-62","-62","-62"
"866","-61","-61","-61"
"867","-61","-61","-61"
