"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"678","-65","-65","-65"
"679","-71","-71","-71"
"680","-64","-64","-64"
"681","-63","-63","-63"
"682","-65","-65","-65"
"683","-64","-64","-64"
"684","-64","-64","-64"
"685","-65","-65","-65"
"686","-65","-65","-65"
"687","-65","-65","-65"
"688","-63","-63","-63"
"689","-63","-63","-63"
"690","-64","-64","-64"
"691","-64","-64","-64"
"692","-65","-65","-65"
"693","-66","-66","-66"
"694","-63","-63","-63"
"695","-64","-64","-64"
"696","-64","-64","-64"
"697","-64","-64","-64"
"698","-65","-65","-65"
"699","-64","-64","-64"
"700","-64","-64","-64"
"701","-63","-63","-63"
"702","-64","-64","-64"
"703","-63","-63","-63"
"704","-71","-71","-71"
"705","-63","-63","-63"
"706","-64","-64","-64"
"707","-64","-64","-64"
"708","-64","-64","-64"
"709","-64","-64","-64"
"710","-63","-63","-63"
"711","-63","-63","-63"
"712","-63","-63","-63"
"713","-70","-70","-70"
"714","-63","-63","-63"
"715","-64","-64","-64"
"716","-65","-65","-65"
"717","-63","-63","-63"
"718","-65","-65","-65"
"719","-63","-63","-63"
"720","-63","-63","-63"
"721","-64","-64","-64"
"722","-63","-63","-63"
"723","-64","-64","-64"
"724","-64","-64","-64"
"725","-64","-64","-64"
"726","-64","-64","-64"
"727","-64","-64","-64"
"728","-65","-65","-65"
"729","-64","-64","-64"
"730","-63","-63","-63"
"731","-62","-62","-62"
"732","-64","-64","-64"
"733","-64","-64","-64"
"734","-65","-65","-65"
"735","-64","-64","-64"
"736","-65","-65","-65"
"737","-65","-65","-65"
"738","-63","-63","-63"
"739","-63","-63","-63"
"740","-64","-64","-64"
"741","-64","-64","-64"
"742","-64","-64","-64"
"743","-64","-64","-64"
"744","-65","-65","-65"
"745","-64","-64","-64"
"746","-64","-64","-64"
"747","-65","-65","-65"
"748","-64","-64","-64"
"749","-64","-64","-64"
"750","-64","-64","-64"
"751","-63","-63","-63"
"752","-63","-63","-63"
"753","-64","-64","-64"
"754","-64","-64","-64"
"755","-65","-65","-65"
"756","-64","-64","-64"
"757","-63","-63","-63"
"758","-62","-62","-62"
"759","-65","-65","-65"
"760","-63","-63","-63"
"761","-65","-65","-65"
"762","-63","-63","-63"
"763","-64","-64","-64"
"764","-64","-64","-64"
"765","-64","-64","-64"
"766","-68","-68","-68"
"767","-64","-64","-64"
"768","-64","-64","-64"
"769","-68","-68","-68"
"770","-63","-63","-63"
"771","-63","-63","-63"
"772","-64","-64","-64"
"773","-64","-64","-64"
"774","-64","-64","-64"
"775","-63","-63","-63"
"776","-64","-64","-64"
"777","-64","-64","-64"
"778","-63","-63","-63"
"779","-64","-64","-64"
"780","-64","-64","-64"
"781","-64","-64","-64"
"782","-65","-65","-65"
"783","-64","-64","-64"
"784","-64","-64","-64"
"785","-64","-64","-64"
"786","-65","-65","-65"
"787","-64","-64","-64"
"788","-65","-65","-65"
"789","-63","-63","-63"
"790","-64","-64","-64"
"791","-63","-63","-63"
"792","-64","-64","-64"
"793","-64","-64","-64"
"794","-62","-62","-62"
