"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MAX"
"332","-79","-79","-79"
"333","-71","-71","-71"
"334","-68","-68","-68"
"335","-66","-66","-66"
"336","-74","-74","-74"
"337","-64","-64","-64"
"338","-67","-67","-67"
"339","-75","-75","-75"
"340","-72","-72","-72"
"341","-63","-63","-63"
"342","-64","-64","-64"
"343","-66","-66","-66"
"344","-78","-78","-78"
"345","-64","-64","-64"
"346","-64","-64","-64"
"347","-84","-84","-84"
"348","-90","-90","-90"
"349","-65","-65","-65"
"350","-72","-72","-72"
"351","-72","-72","-72"
"352","-72","-72","-72"
"353","-74","-74","-74"
"354","-71","-71","-71"
"355","-82","-82","-82"
"356","-65","-65","-65"
"357","-73","-73","-73"
"358","-89","-89","-89"
"359","-64","-64","-64"
"360","-118","-118","-118"
"361","-73","-73","-73"
"362","-66","-66","-66"
"363","-78","-78","-78"
"364","-72","-72","-72"
"365","-65","-65","-65"
"366","-72","-72","-72"
"367","-87","-87","-87"
"368","-72","-72","-72"
"369","-73","-73","-73"
"370","-71","-71","-71"
"371","-87","-87","-87"
"372","-82","-82","-82"
"373","-72","-72","-72"
"374","-67","-67","-67"
"375","-72","-72","-72"
"376","-72","-72","-72"
"377","-73","-73","-73"
"378","-64","-64","-64"
"379","-75","-75","-75"
"380","-73","-73","-73"
"381","-73","-73","-73"
"382","-64","-64","-64"
"383","-63","-63","-63"
"384","-73","-73","-73"
"385","-73","-73","-73"
"386","-71","-71","-71"
"387","-74","-74","-74"
"388","-72","-72","-72"
"389","-64","-64","-64"
"390","-87","-87","-87"
"391","-77","-77","-77"
"392","-63","-63","-63"
"393","-96","-96","-96"
"394","-72","-72","-72"
"395","-74","-74","-74"
"396","-74","-74","-74"
"397","-90","-90","-90"
"398","-72","-72","-72"
"399","-75","-75","-75"
"400","-73","-73","-73"
"401","-74","-74","-74"
"402","-130","-130","-130"
"403","-98","-98","-98"
"404","-73","-73","-73"
"405","-74","-74","-74"
"406","-96","-96","-96"
"407","-64","-64","-64"
"408","-73","-73","-73"
"409","-184","-184","-184"
"410","-73","-73","-73"
"411","-72","-72","-72"
"412","-96","-96","-96"
"413","-66","-66","-66"
"414","-66","-66","-66"
"415","-82","-82","-82"
"416","-66","-66","-66"
"417","-74","-74","-74"
"418","-73","-73","-73"
"419","-65","-65","-65"
"420","-87","-87","-87"
"421","-73","-73","-73"
"422","-74","-74","-74"
"423","-65","-65","-65"
"424","-117","-117","-117"
"425","-102","-102","-102"
"426","-200","-200","-200"
"427","-200","-200","-200"
"428","-99","-99","-99"
"429","-200","-200","-200"
"430","-66","-66","-66"
"431","-65","-65","-65"
"432","-64","-64","-64"
"433","-65","-65","-65"
"434","-65","-65","-65"
"435","-64","-64","-64"
"436","-74","-74","-74"
"437","-74","-74","-74"
"438","-73","-73","-73"
"439","-65","-65","-65"
"440","-99","-99","-99"
"441","-93","-93","-93"
"442","-95","-95","-95"
"443","-66","-66","-66"
"444","-65","-65","-65"
"445","-84","-84","-84"
"446","-66","-66","-66"
"447","-64","-64","-64"
"448","-75","-75","-75"
"449","-200","-200","-200"
"450","-65","-65","-65"
"451","-73","-73","-73"
"452","-73","-73","-73"
"453","-100","-100","-100"
"454","-96","-96","-96"
"455","-148","-148","-148"
"456","-66","-66","-66"
"457","-88","-88","-88"
"458","-200","-200","-200"
"459","-76","-76","-76"
"460","-93","-93","-93"
"461","-73","-73","-73"
"462","-100","-100","-100"
"463","-65","-65","-65"
"464","-73","-73","-73"
"465","-65","-65","-65"
"466","-66","-66","-66"
"467","-97","-97","-97"
"468","-73","-73","-73"
"469","-73","-73","-73"
"470","-116","-116","-116"
"471","-73","-73","-73"
"472","-105","-105","-105"
"473","-66","-66","-66"
"474","-100","-100","-100"
"475","-115","-115","-115"
"476","-74","-74","-74"
"477","-200","-200","-200"
"478","-66","-66","-66"
"479","-65","-65","-65"
"480","-111","-111","-111"
"481","-74","-74","-74"
"482","-89","-89","-89"
"483","-75","-75","-75"
"484","-99","-99","-99"
"485","-82","-82","-82"
"486","-95","-95","-95"
"487","-74","-74","-74"
"488","-113","-113","-113"
"489","-83","-83","-83"
"490","-73","-73","-73"
"491","-65","-65","-65"
"492","-65","-65","-65"
"493","-94","-94","-94"
"494","-66","-66","-66"
"495","-74","-74","-74"
"496","-88","-88","-88"
"497","-73","-73","-73"
"498","-85","-85","-85"
"499","-97","-97","-97"
"500","-73","-73","-73"
"501","-200","-200","-200"
"502","-106","-106","-106"
"503","-75","-75","-75"
"504","-101","-101","-101"
"505","-200","-200","-200"
"506","-200","-200","-200"
"507","-65","-65","-65"
"508","-66","-66","-66"
"509","-96","-96","-96"
"510","-200","-200","-200"
"511","-74","-74","-74"
"512","-81","-81","-81"
"513","-73","-73","-73"
"514","-72","-72","-72"
"515","-95","-95","-95"
"516","-105","-105","-105"
"517","-95","-95","-95"
"518","-120","-120","-120"
"519","-96","-96","-96"
"520","-74","-74","-74"
"521","-75","-75","-75"
"522","-96","-96","-96"
"523","-105","-105","-105"
"524","-89","-89","-89"
"525","-66","-66","-66"
"526","-74","-74","-74"
"527","-73","-73","-73"
"528","-66","-66","-66"
"529","-64","-64","-64"
"530","-88","-88","-88"
"531","-163","-163","-163"
"532","-88","-88","-88"
"533","-100","-100","-100"
"534","-94","-94","-94"
"535","-81","-81","-81"
"536","-200","-200","-200"
"537","-73","-73","-73"
"538","-93","-93","-93"
"539","-74","-74","-74"
"540","-66","-66","-66"
"541","-66","-66","-66"
"542","-82","-82","-82"
"543","-66","-66","-66"
"544","-73","-73","-73"
"545","-64","-64","-64"
"546","-200","-200","-200"
"547","-74","-74","-74"
"548","-74","-74","-74"
"549","-200","-200","-200"
"550","-65","-65","-65"
"551","-73","-73","-73"
"552","-115","-115","-115"
"553","-89","-89","-89"
"554","-66","-66","-66"
"555","-89","-89","-89"
"556","-106","-106","-106"
"557","-74","-74","-74"
"558","-129","-129","-129"
"559","-64","-64","-64"
"560","-197","-197","-197"
"561","-73","-73","-73"
"562","-89","-89","-89"
"563","-64","-64","-64"
"564","-118","-118","-118"
"565","-100","-100","-100"
"566","-114","-114","-114"
"567","-117","-117","-117"
"568","-99","-99","-99"
"569","-117","-117","-117"
"570","-74","-74","-74"
"571","-81","-81","-81"
"572","-117","-117","-117"
"573","-99","-99","-99"
"574","-77","-77","-77"
"575","-90","-90","-90"
"576","-131","-131","-131"
"577","-73","-73","-73"
"578","-82","-82","-82"
"579","-114","-114","-114"
"580","-119","-119","-119"
"581","-122","-122","-122"
"582","-72","-72","-72"
"583","-99","-99","-99"
"584","-103","-103","-103"
"585","-200","-200","-200"
"586","-72","-72","-72"
"587","-73","-73","-73"
"588","-102","-102","-102"
"589","-65","-65","-65"
"590","-78","-78","-78"
"591","-65","-65","-65"
"592","-75","-75","-75"
"593","-66","-66","-66"
"594","-89","-89","-89"
"595","-78","-78","-78"
"596","-91","-91","-91"
"597","-104","-104","-104"
"598","-79","-79","-79"
"599","-96","-96","-96"
"600","-67","-67","-67"
"601","-72","-72","-72"
"602","-65","-65","-65"
"603","-75","-75","-75"
"604","-72","-72","-72"
"605","-99","-99","-99"
"606","-73","-73","-73"
"607","-73","-73","-73"
"608","-72","-72","-72"
"609","-81","-81","-81"
"610","-94","-94","-94"
"611","-73","-73","-73"
"612","-74","-74","-74"
"613","-89","-89","-89"
"614","-66","-66","-66"
"615","-72","-72","-72"
"616","-90","-90","-90"
"617","-73","-73","-73"
"618","-72","-72","-72"
"619","-88","-88","-88"
"620","-64","-64","-64"
"621","-74","-74","-74"
"622","-87","-87","-87"
"623","-87","-87","-87"
"624","-73","-73","-73"
"625","-94","-94","-94"
"626","-65","-65","-65"
"627","-73","-73","-73"
"628","-73","-73","-73"
"629","-74","-74","-74"
"630","-87","-87","-87"
"631","-87","-87","-87"
"632","-72","-72","-72"
"633","-71","-71","-71"
"634","-66","-66","-66"
"635","-72","-72","-72"
"636","-74","-74","-74"
"637","-73","-73","-73"
"638","-78","-78","-78"
"639","-64","-64","-64"
"640","-87","-87","-87"
"641","-64","-64","-64"
"642","-74","-74","-74"
"643","-73","-73","-73"
"644","-73","-73","-73"
"645","-66","-66","-66"
"646","-101","-101","-101"
"647","-82","-82","-82"
"648","-73","-73","-73"
"649","-75","-75","-75"
"650","-72","-72","-72"
"651","-66","-66","-66"
"652","-74","-74","-74"
"653","-80","-80","-80"
"654","-72","-72","-72"
"655","-86","-86","-86"
"656","-95","-95","-95"
"657","-66","-66","-66"
"658","-131","-131","-131"
"659","-66","-66","-66"
"660","-73","-73","-73"
"661","-78","-78","-78"
"662","-64","-64","-64"
"663","-64","-64","-64"
"664","-72","-72","-72"
"665","-151","-151","-151"
"666","-82","-82","-82"
"667","-66","-66","-66"
"668","-99","-99","-99"
"669","-71","-71","-71"
"670","-65","-65","-65"
"671","-74","-74","-74"
"672","-66","-66","-66"
"673","-75","-75","-75"
"674","-72","-72","-72"
"675","-91","-91","-91"
"676","-106","-106","-106"
"677","-75","-75","-75"
"678","-87","-87","-87"
"679","-88","-88","-88"
"680","-78","-78","-78"
"681","-72","-72","-72"
"682","-73","-73","-73"
"683","-65","-65","-65"
"684","-74","-74","-74"
"685","-78","-78","-78"
"686","-112","-112","-112"
"687","-73","-73","-73"
"688","-73","-73","-73"
"689","-157","-157","-157"
"690","-73","-73","-73"
"691","-196","-196","-196"
"692","-64","-64","-64"
"693","-65","-65","-65"
"694","-71","-71","-71"
"695","-74","-74","-74"
"696","-73","-73","-73"
"697","-65","-65","-65"
"698","-72","-72","-72"
"699","-84","-84","-84"
"700","-72","-72","-72"
"701","-72","-72","-72"
"702","-94","-94","-94"
"703","-81","-81","-81"
"704","-72","-72","-72"
"705","-92","-92","-92"
"706","-73","-73","-73"
"707","-87","-87","-87"
"708","-87","-87","-87"
"709","-74","-74","-74"
"710","-74","-74","-74"
"711","-74","-74","-74"
"712","-94","-94","-94"
"713","-72","-72","-72"
"714","-64","-64","-64"
"715","-73","-73","-73"
"716","-75","-75","-75"
"717","-78","-78","-78"
"718","-74","-74","-74"
"719","-72","-72","-72"
"720","-97","-97","-97"
"721","-66","-66","-66"
"722","-65","-65","-65"
"723","-132","-132","-132"
"724","-76","-76","-76"
"725","-94","-94","-94"
"726","-74","-74","-74"
"727","-82","-82","-82"
"728","-73","-73","-73"
"729","-91","-91","-91"
"730","-74","-74","-74"
"731","-73","-73","-73"
"732","-106","-106","-106"
"733","-65","-65","-65"
"734","-94","-94","-94"
"735","-73","-73","-73"
"736","-145","-145","-145"
"737","-82","-82","-82"
"738","-72","-72","-72"
"739","-73","-73","-73"
"740","-72","-72","-72"
"741","-73","-73","-73"
"742","-66","-66","-66"
"743","-72","-72","-72"
"744","-73","-73","-73"
"745","-64","-64","-64"
"746","-74","-74","-74"
"747","-72","-72","-72"
"748","-90","-90","-90"
"749","-72","-72","-72"
"750","-72","-72","-72"
"751","-87","-87","-87"
"752","-132","-132","-132"
"753","-64","-64","-64"
"754","-75","-75","-75"
"755","-74","-74","-74"
"756","-72","-72","-72"
"757","-65","-65","-65"
"758","-74","-74","-74"
"759","-75","-75","-75"
"760","-73","-73","-73"
"761","-72","-72","-72"
"762","-66","-66","-66"
"763","-78","-78","-78"
"764","-73","-73","-73"
"765","-72","-72","-72"
"766","-76","-76","-76"
"767","-72","-72","-72"
"768","-73","-73","-73"
"769","-67","-67","-67"
"770","-200","-200","-200"
"771","-73","-73","-73"
"772","-73","-73","-73"
"773","-91","-91","-91"
"774","-72","-72","-72"
"775","-74","-74","-74"
"776","-72","-72","-72"
"777","-74","-74","-74"
"778","-82","-82","-82"
"779","-72","-72","-72"
"780","-98","-98","-98"
"781","-66","-66","-66"
"782","-72","-72","-72"
"783","-84","-84","-84"
"784","-66","-66","-66"
"785","-73","-73","-73"
"786","-66","-66","-66"
"787","-73","-73","-73"
"788","-74","-74","-74"
"789","-167","-167","-167"
"790","-96","-96","-96"
"791","-73","-73","-73"
"792","-200","-200","-200"
"793","-64","-64","-64"
"794","-199","-199","-199"
"795","-75","-75","-75"
"796","-73","-73","-73"
"797","-87","-87","-87"
