"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"576","-59","-59","-59"
"577","-59","-59","-59"
"578","-59","-59","-59"
"579","-61","-61","-61"
"580","-60","-60","-60"
"581","-61","-61","-61"
"582","-60","-60","-60"
"583","-59","-59","-59"
"584","-59","-59","-59"
"585","-59","-59","-59"
"586","-59","-59","-59"
"587","-60","-60","-60"
"588","-59","-59","-59"
"589","-60","-60","-60"
"590","-59","-59","-59"
"591","-59","-59","-59"
"592","-61","-61","-61"
"593","-60","-60","-60"
"594","-60","-60","-60"
"595","-59","-59","-59"
"596","-60","-60","-60"
"597","-59","-59","-59"
"598","-59","-59","-59"
"599","-60","-60","-60"
"600","-59","-59","-59"
"601","-64","-64","-64"
"602","-59","-59","-59"
"603","-59","-59","-59"
"604","-60","-60","-60"
"605","-60","-60","-60"
"606","-60","-60","-60"
"607","-64","-64","-64"
"608","-60","-60","-60"
"609","-60","-60","-60"
"610","-61","-61","-61"
"611","-61","-61","-61"
"612","-60","-60","-60"
"613","-59","-59","-59"
"614","-59","-59","-59"
"615","-59","-59","-59"
"616","-60","-60","-60"
"617","-59","-59","-59"
"618","-59","-59","-59"
"619","-59","-59","-59"
"620","-60","-60","-60"
"621","-59","-59","-59"
"622","-59","-59","-59"
"623","-59","-59","-59"
"624","-60","-60","-60"
"625","-60","-60","-60"
"626","-60","-60","-60"
"627","-60","-60","-60"
"628","-60","-60","-60"
"629","-60","-60","-60"
"630","-59","-59","-59"
"631","-59","-59","-59"
"632","-59","-59","-59"
"633","-59","-59","-59"
"634","-60","-60","-60"
"635","-60","-60","-60"
"636","-59","-59","-59"
"637","-60","-60","-60"
"638","-61","-61","-61"
"639","-59","-59","-59"
"640","-60","-60","-60"
"641","-59","-59","-59"
"642","-59","-59","-59"
"643","-59","-59","-59"
"644","-59","-59","-59"
"645","-59","-59","-59"
"646","-61","-61","-61"
"647","-61","-61","-61"
"648","-60","-60","-60"
"649","-60","-60","-60"
"650","-60","-60","-60"
"651","-59","-59","-59"
"652","-60","-60","-60"
"653","-60","-60","-60"
"654","-59","-59","-59"
"655","-60","-60","-60"
"656","-59","-59","-59"
"657","-61","-61","-61"
"658","-59","-59","-59"
"659","-61","-61","-61"
"660","-59","-59","-59"
"661","-59","-59","-59"
"662","-59","-59","-59"
"663","-59","-59","-59"
"664","-60","-60","-60"
"665","-59","-59","-59"
"666","-59","-59","-59"
"667","-62","-62","-62"
"668","-59","-59","-59"
"669","-59","-59","-59"
"670","-59","-59","-59"
"671","-61","-61","-61"
"672","-59","-59","-59"
"673","-59","-59","-59"
"674","-59","-59","-59"
"675","-60","-60","-60"
"676","-59","-59","-59"
"677","-58","-58","-58"
"678","-59","-59","-59"
"679","-60","-60","-60"
"680","-57","-57","-57"
"681","-60","-60","-60"
"682","-59","-59","-59"
"683","-59","-59","-59"
"684","-59","-59","-59"
"685","-60","-60","-60"
"686","-59","-59","-59"
"687","-60","-60","-60"
"688","-59","-59","-59"
"689","-59","-59","-59"
"690","-59","-59","-59"
"691","-63","-63","-63"
"692","-59","-59","-59"
"693","-59","-59","-59"
"694","-60","-60","-60"
"695","-60","-60","-60"
"696","-61","-61","-61"
"697","-60","-60","-60"
"698","-62","-62","-62"
"699","-60","-60","-60"
"700","-59","-59","-59"
"701","-60","-60","-60"
"702","-60","-60","-60"
"703","-59","-59","-59"
"704","-59","-59","-59"
"705","-59","-59","-59"
"706","-60","-60","-60"
"707","-60","-60","-60"
"708","-61","-61","-61"
"709","-59","-59","-59"
"710","-64","-64","-64"
"711","-59","-59","-59"
"712","-59","-59","-59"
"713","-59","-59","-59"
"714","-64","-64","-64"
"715","-59","-59","-59"
"716","-59","-59","-59"
"717","-59","-59","-59"
"718","-61","-61","-61"
"719","-59","-59","-59"
"720","-59","-59","-59"
"721","-59","-59","-59"
"722","-59","-59","-59"
"723","-61","-61","-61"
"724","-61","-61","-61"
"725","-60","-60","-60"
"726","-59","-59","-59"
"727","-60","-60","-60"
"728","-60","-60","-60"
"729","-61","-61","-61"
"730","-60","-60","-60"
"731","-59","-59","-59"
"732","-59","-59","-59"
"733","-59","-59","-59"
"734","-62","-62","-62"
"735","-60","-60","-60"
"736","-59","-59","-59"
"737","-59","-59","-59"
"738","-59","-59","-59"
"739","-65","-65","-65"
"740","-62","-62","-62"
"741","-62","-62","-62"
"742","-60","-60","-60"
"743","-59","-59","-59"
"744","-61","-61","-61"
"745","-59","-59","-59"
"746","-61","-61","-61"
"747","-60","-60","-60"
"748","-59","-59","-59"
"749","-63","-63","-63"
"750","-59","-59","-59"
"751","-59","-59","-59"
"752","-59","-59","-59"
"753","-56","-56","-56"
"754","-59","-59","-59"
"755","-59","-59","-59"
"756","-60","-60","-60"
"757","-62","-62","-62"
"758","-59","-59","-59"
"759","-59","-59","-59"
"760","-59","-59","-59"
"761","-60","-60","-60"
"762","-60","-60","-60"
"763","-60","-60","-60"
"764","-60","-60","-60"
"765","-60","-60","-60"
"766","-59","-59","-59"
"767","-59","-59","-59"
"768","-61","-61","-61"
"769","-59","-59","-59"
"770","-60","-60","-60"
"771","-59","-59","-59"
"772","-61","-61","-61"
"773","-61","-61","-61"
"774","-60","-60","-60"
"775","-61","-61","-61"
"776","-59","-59","-59"
"777","-59","-59","-59"
"778","-59","-59","-59"
"779","-59","-59","-59"
"780","-59","-59","-59"
"781","-58","-58","-58"
"782","-59","-59","-59"
"783","-59","-59","-59"
"784","-59","-59","-59"
"785","-59","-59","-59"
"786","-62","-62","-62"
"787","-59","-59","-59"
"788","-60","-60","-60"
"789","-60","-60","-60"
"790","-61","-61","-61"
"791","-57","-57","-57"
"792","-60","-60","-60"
"793","-60","-60","-60"
"794","-60","-60","-60"
"795","-59","-59","-59"
"796","-59","-59","-59"
"797","-59","-59","-59"
"798","-58","-58","-58"
"799","-59","-59","-59"
"800","-60","-60","-60"
"801","-59","-59","-59"
"802","-60","-60","-60"
"803","-60","-60","-60"
"804","-59","-59","-59"
"805","-60","-60","-60"
"806","-60","-60","-60"
"807","-61","-61","-61"
"808","-59","-59","-59"
"809","-59","-59","-59"
"810","-59","-59","-59"
"811","-60","-60","-60"
"812","-60","-60","-60"
"813","-59","-59","-59"
"814","-60","-60","-60"
"815","-64","-64","-64"
"816","-60","-60","-60"
"817","-59","-59","-59"
"818","-61","-61","-61"
"819","-59","-59","-59"
"820","-59","-59","-59"
"821","-59","-59","-59"
"822","-59","-59","-59"
"823","-59","-59","-59"
"824","-59","-59","-59"
"825","-59","-59","-59"
"826","-59","-59","-59"
"827","-59","-59","-59"
"828","-60","-60","-60"
"829","-61","-61","-61"
"830","-56","-56","-56"
"831","-59","-59","-59"
"832","-61","-61","-61"
"833","-59","-59","-59"
"834","-61","-61","-61"
"835","-62","-62","-62"
"836","-59","-59","-59"
"837","-60","-60","-60"
"838","-62","-62","-62"
"839","-60","-60","-60"
"840","-59","-59","-59"
"841","-61","-61","-61"
"842","-59","-59","-59"
"843","-59","-59","-59"
"844","-60","-60","-60"
"845","-61","-61","-61"
"846","-59","-59","-59"
"847","-60","-60","-60"
"848","-59","-59","-59"
"849","-59","-59","-59"
"850","-60","-60","-60"
"851","-61","-61","-61"
"852","-60","-60","-60"
"853","-59","-59","-59"
"854","-60","-60","-60"
"855","-59","-59","-59"
"856","-59","-59","-59"
"857","-59","-59","-59"
"858","-61","-61","-61"
"859","-59","-59","-59"
"860","-61","-61","-61"
"861","-59","-59","-59"
"862","-60","-60","-60"
"863","-64","-64","-64"
"864","-59","-59","-59"
"865","-59","-59","-59"
"866","-59","-59","-59"
"867","-59","-59","-59"
"868","-60","-60","-60"
"869","-60","-60","-60"
"870","-60","-60","-60"
"871","-59","-59","-59"
"872","-60","-60","-60"
"873","-60","-60","-60"
"874","-60","-60","-60"
"875","-59","-59","-59"
"876","-59","-59","-59"
"877","-59","-59","-59"
"878","-59","-59","-59"
"879","-59","-59","-59"
"880","-60","-60","-60"
"881","-60","-60","-60"
"882","-60","-60","-60"
"883","-59","-59","-59"
"884","-59","-59","-59"
"885","-60","-60","-60"
"886","-60","-60","-60"
"887","-59","-59","-59"
"888","-60","-60","-60"
"889","-62","-62","-62"
"890","-59","-59","-59"
"891","-59","-59","-59"
"892","-60","-60","-60"
"893","-59","-59","-59"
"894","-59","-59","-59"
"895","-62","-62","-62"
"896","-59","-59","-59"
"897","-61","-61","-61"
"898","-60","-60","-60"
"899","-60","-60","-60"
"900","-60","-60","-60"
"901","-67","-67","-67"
"902","-60","-60","-60"
"903","-59","-59","-59"
"904","-59","-59","-59"
"905","-60","-60","-60"
