"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MAX"
"873","10","10","10"
"874","12","12","12"
"875","9","9","9"
"876","10","10","10"
"877","11","11","11"
"878","11","11","11"
"879","11","11","11"
"880","9","9","9"
"881","10","10","10"
"882","11","11","11"
"883","10","10","10"
"884","11","11","11"
"885","10","10","10"
"886","9","9","9"
"887","9","9","9"
"888","10","10","10"
"889","10","10","10"
"890","9","9","9"
"891","12","12","12"
"892","11","11","11"
"893","11","11","11"
"894","9","9","9"
"895","12","12","12"
"896","9","9","9"
"897","12","12","12"
"898","11","11","11"
"899","9","9","9"
"900","9","9","9"
"901","10","10","10"
"902","9","9","9"
"903","10","10","10"
"904","10","10","10"
"905","11","11","11"
"906","10","10","10"
"907","9","9","9"
"908","12","12","12"
"909","10","10","10"
"910","9","9","9"
"911","9","9","9"
"912","11","11","11"
"913","11","11","11"
"914","9","9","9"
"915","9","9","9"
"916","10","10","10"
"917","10","10","10"
"918","10","10","10"
"919","11","11","11"
"920","10","10","10"
"921","9","9","9"
"922","9","9","9"
"923","10","10","10"
"924","10","10","10"
"925","9","9","9"
"926","11","11","11"
"927","11","11","11"
"928","12","12","12"
"929","12","12","12"
"930","11","11","11"
"931","9","9","9"
"932","10","10","10"
"933","9","9","9"
"934","12","12","12"
"935","10","10","10"
"936","11","11","11"
"937","11","11","11"
"938","9","9","9"
"939","9","9","9"
"940","9","9","9"
"941","9","9","9"
"942","10","10","10"
"943","9","9","9"
"944","12","12","12"
"945","12","12","12"
"946","10","10","10"
"947","10","10","10"
"948","10","10","10"
"949","10","10","10"
"950","10","10","10"
"951","10","10","10"
"952","11","11","11"
"953","11","11","11"
"954","10","10","10"
"955","10","10","10"
"956","10","10","10"
"957","9","9","9"
"958","10","10","10"
"959","11","11","11"
"960","9","9","9"
"961","9","9","9"
"962","10","10","10"
"963","12","12","12"
"964","10","10","10"
"965","12","12","12"
"966","9","9","9"
"967","10","10","10"
"968","11","11","11"
"969","11","11","11"
"970","9","9","9"
"971","11","11","11"
"972","11","11","11"
"973","11","11","11"
"974","9","9","9"
"975","12","12","12"
"976","9","9","9"
"977","9","9","9"
"978","10","10","10"
"979","11","11","11"
"980","12","12","12"
"981","10","10","10"
"982","9","9","9"
"983","12","12","12"
"984","10","10","10"
"985","9","9","9"
"986","9","9","9"
"987","10","10","10"
"988","10","10","10"
"989","10","10","10"
"990","12","12","12"
"991","10","10","10"
"992","10","10","10"
"993","11","11","11"
"994","9","9","9"
"995","10","10","10"
"996","12","12","12"
"997","11","11","11"
"998","10","10","10"
"999","10","10","10"
"1000","12","12","12"
"1001","12","12","12"
"1002","12","12","12"
"1003","12","12","12"
"1004","12","12","12"
"1005","13","13","13"
"1006","12","12","12"
"1007","12","12","12"
"1008","12","12","12"
"1009","13","13","13"
"1010","12","12","12"
"1011","12","12","12"
"1012","12","12","12"
"1013","11","11","11"
"1014","12","12","12"
"1015","11","11","11"
"1016","14","14","14"
"1017","11","11","11"
"1018","13","13","13"
"1019","11","11","11"
"1020","12","12","12"
"1021","12","12","12"
"1022","11","11","11"
"1023","14","14","14"
"1024","12","12","12"
"1025","12","12","12"
"1026","12","12","12"
"1027","12","12","12"
"1028","12","12","12"
"1029","11","11","11"
"1030","14","14","14"
"1031","11","11","11"
"1032","11","11","11"
"1033","12","12","12"
"1034","14","14","14"
"1035","13","13","13"
"1036","11","11","11"
"1037","12","12","12"
"1038","11","11","11"
"1039","12","12","12"
"1040","11","11","11"
"1041","13","13","13"
"1042","13","13","13"
"1043","13","13","13"
"1044","13","13","13"
"1045","12","12","12"
"1046","13","13","13"
"1047","13","13","13"
"1048","11","11","11"
"1049","13","13","13"
"1050","11","11","11"
"1051","13","13","13"
"1052","13","13","13"
"1053","13","13","13"
"1054","13","13","13"
"1055","12","12","12"
"1056","13","13","13"
"1057","13","13","13"
"1058","13","13","13"
"1059","10","10","10"
"1060","13","13","13"
"1061","12","12","12"
"1062","14","14","14"
"1063","12","12","12"
"1064","12","12","12"
"1065","12","12","12"
"1066","13","13","13"
"1067","13","13","13"
"1068","13","13","13"
"1069","11","11","11"
"1070","12","12","12"
"1071","11","11","11"
"1072","13","13","13"
"1073","12","12","12"
"1074","12","12","12"
"1075","11","11","11"
"1076","12","12","12"
"1077","12","12","12"
"1078","11","11","11"
"1079","14","14","14"
"1080","13","13","13"
"1081","11","11","11"
"1082","13","13","13"
"1083","13","13","13"
"1084","11","11","11"
"1085","12","12","12"
"1086","12","12","12"
"1087","12","12","12"
"1088","11","11","11"
"1089","13","13","13"
"1090","12","12","12"
"1091","13","13","13"
"1092","12","12","12"
"1093","12","12","12"
"1094","13","13","13"
"1095","11","11","11"
"1096","12","12","12"
"1097","14","14","14"
"1098","11","11","11"
"1099","13","13","13"
"1100","12","12","12"
"1101","11","11","11"
"1102","11","11","11"
"1103","12","12","12"
"1104","14","14","14"
"1105","12","12","12"
"1106","12","12","12"
"1107","13","13","13"
"1108","13","13","13"
"1109","13","13","13"
"1110","12","12","12"
"1111","11","11","11"
"1112","13","13","13"
"1113","13","13","13"
"1114","13","13","13"
"1115","12","12","12"
"1116","11","11","11"
"1117","11","11","11"
"1118","12","12","12"
"1119","12","12","12"
"1120","14","14","14"
"1121","14","14","14"
"1122","13","13","13"
"1123","12","12","12"
"1124","13","13","13"
"1125","13","13","13"
"1126","13","13","13"
"1127","13","13","13"
"1128","14","14","14"
"1129","11","11","11"
"1130","13","13","13"
"1131","13","13","13"
"1132","12","12","12"
"1133","12","12","12"
"1134","12","12","12"
"1135","13","13","13"
"1136","13","13","13"
"1137","12","12","12"
"1138","11","11","11"
"1139","11","11","11"
"1140","12","12","12"
"1141","11","11","11"
"1142","13","13","13"
"1143","13","13","13"
"1144","12","12","12"
"1145","12","12","12"
"1146","14","14","14"
"1147","11","11","11"
"1148","11","11","11"
"1149","11","11","11"
"1150","11","11","11"
"1151","13","13","13"
"1152","13","13","13"
"1153","11","11","11"
"1154","11","11","11"
"1155","11","11","11"
"1156","13","13","13"
"1157","11","11","11"
"1158","11","11","11"
"1159","11","11","11"
"1160","13","13","13"
"1161","13","13","13"
"1162","12","12","12"
"1163","12","12","12"
"1164","13","13","13"
"1165","11","11","11"
"1166","11","11","11"
"1167","13","13","13"
"1168","11","11","11"
"1169","11","11","11"
"1170","13","13","13"
"1171","13","13","13"
"1172","12","12","12"
"1173","10","10","10"
"1174","13","13","13"
"1175","11","11","11"
"1176","10","10","10"
"1177","11","11","11"
"1178","11","11","11"
"1179","13","13","13"
"1180","11","11","11"
"1181","14","14","14"
"1182","12","12","12"
"1183","11","11","11"
"1184","11","11","11"
"1185","11","11","11"
"1186","10","10","10"
"1187","13","13","13"
"1188","13","13","13"
"1189","13","13","13"
"1190","13","13","13"
"1191","12","12","12"
"1192","11","11","11"
"1193","12","12","12"
"1194","11","11","11"
"1195","11","11","11"
"1196","13","13","13"
"1197","11","11","11"
"1198","12","12","12"
"1199","13","13","13"
"1200","16","16","16"
"1201","16","16","16"
"1202","15","15","15"
"1203","15","15","15"
"1204","16","16","16"
"1205","15","15","15"
"1206","16","16","16"
"1207","16","16","16"
"1208","14","14","14"
"1209","14","14","14"
"1210","16","16","16"
"1211","15","15","15"
"1212","14","14","14"
"1213","16","16","16"
"1214","17","17","17"
"1215","15","15","15"
"1216","18","18","18"
"1217","13","13","13"
"1218","17","17","17"
"1219","14","14","14"
"1220","17","17","17"
"1221","18","18","18"
"1222","18","18","18"
